Index,ID,Name,Intake,Subject Code,Subject Name,Grade,Comment,Programme,Email,,,Legend,,
23,A0003,Gerard Butler,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,,,,
24,A0003,Gerard Butler,Jun-25,KBEN1033N,Oral Communication,n,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,,,,
25,A0003,Gerard Butler,Jun-25,XBCS1043N,Computing Mathematics,n,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,,Semester,,
26,A0003,Gerard Butler,Jun-25,XBCS1143N,Application Development,n,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,1,Jan-22,,
27,A0003,Gerard Butler,Jun-25,XBCS1183N,Database Management & Security,n,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,2,May-22,,
28,A0003,Gerard Butler,Jun-25,MPU3333N,Integrity and Anti Corruption,n,To Take (n : registered for Next semester),UEIS,A0003@uow.edu.my,,3,Sep-22,,
29,A0003,Gerard Butler,Jun-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,4,Jan-23,"If student start at intake Jan23, they need to complete semester 4-6-8-10-12-14-16",
30,A0003,Gerard Butler,Jun-25,MPU3213,Bahasa Kebangsaan A,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,5,Mar-23,"If student start at intake Mar23, they need to complete semester 4-6-8-10-12-14-16",
31,A0003,Gerard Butler,Jun-25,MPU3143N,Bahasa Melayu Komunikasi 2,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,6,May-23,,
32,A0003,Gerard Butler,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,7,Jul-23,,
33,A0003,Gerard Butler,Jun-25,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0003@uow.edu.my,,8,Sep-23,,
34,A0004,Beyoncé,Jun-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,,9,Oct-23,,
35,A0004,Beyoncé,Jun-25,KBEN1033N,Oral Communication,1,Retaking this semester,UEIS,A0004@uow.edu.my,,10,Jan-24,,
36,A0004,Beyoncé,Jun-25,XBCS1043N,Computing Mathematics,1,Retaking this semester,UEIS,A0004@uow.edu.my,,11,Mar-24,,
37,A0004,Beyoncé,Jun-25,XBCS1143N,Application Development,1,Retaking this semester,UEIS,A0004@uow.edu.my,,12,May-24,,
38,A0004,Beyoncé,Jun-25,XBCS1183N,Database Management & Security,ct,Credit Transferred,UEIS,A0004@uow.edu.my,,13,Sep-24,,
39,A0004,Beyoncé,Jun-25,MPU3333N,Integrity and Anti Corruption,1,Retaking this semester,UEIS,A0004@uow.edu.my,,14,Oct-24,,
40,A0004,Beyoncé,Jun-25,MPU3323N,Malaysia and Global Issues,1,Retaking this semester,UEIS,A0004@uow.edu.my,,15,Feb-25,,
41,A0004,Beyoncé,Jun-25,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0004@uow.edu.my,,16,Apr-25,,
42,A0004,Beyoncé,Jun-25,XBCS2103N,Fundamentals of Object Oriented Programming,ct,Credit Transferred,UEIS,A0004@uow.edu.my,,17,Jun-25,,
43,A0004,Beyoncé,Jun-25,XBCS2013N,Principles of Software Engineering,ct,Credit Transferred,UEIS,A0004@uow.edu.my,,,,,
44,A0004,Beyoncé,Jun-25,XBCS2193N,HCI & User Experience,ct,Credit Transferred,UEIS,A0004@uow.edu.my,,,,,
45,A0004,Beyoncé,Jun-25,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,,,,,
46,A0004,Beyoncé,Jun-25,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0004@uow.edu.my,,,,,
47,A0005,Billie Eilish,Apr-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0005@uow.edu.my,,,,,
48,A0005,Billie Eilish,Apr-25,KBEN1033N,Oral Communication,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
49,A0005,Billie Eilish,Apr-25,XBCS1043N,Computing Mathematics,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
50,A0005,Billie Eilish,Apr-25,XBCS1143N,Application Development,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
51,A0005,Billie Eilish,Apr-25,XBCS1183N,Database Management & Security,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
52,A0005,Billie Eilish,Apr-25,MPU3333N,Integrity and Anti Corruption,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
53,A0005,Billie Eilish,Apr-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0005@uow.edu.my,,,,,
54,A0005,Billie Eilish,Apr-25,MPU3193N,Philosophy and Current Issues,1,Retaking this semester,UEIS,A0005@uow.edu.my,,,,,
55,A0005,Billie Eilish,Apr-25,MPU3213,Bahasa Kebangsaan A,e,Exempted without Credit Transfer,UEIS,A0005@uow.edu.my,,,,,
56,A0005,Billie Eilish,Apr-25,MPU3113,Hubungan Etnik,e,Exempted without Credit Transfer,UEIS,A0005@uow.edu.my,,,,,
57,A0006,Mary Butler,Apr-25,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0006@uow.edu.my,,,,,
58,A0006,Mary Butler,Apr-25,KBEN1033N,Oral Communication,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
59,A0006,Mary Butler,Apr-25,XBCS1043N,Computing Mathematics,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
60,A0006,Mary Butler,Apr-25,XBCS1143N,Application Development,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
61,A0006,Mary Butler,Apr-25,XBCS1183N,Database Management & Security,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
62,A0006,Mary Butler,Apr-25,MPU3333N,Integrity and Anti Corruption,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
63,A0006,Mary Butler,Apr-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0006@uow.edu.my,,,,,
64,A0006,Mary Butler,Apr-25,MPU3193N,Philosophy and Current Issues,1,Retaking this semester,UEIS,A0006@uow.edu.my,,,,,
65,A0006,Mary Butler,Apr-25,MPU3213,Bahasa Kebangsaan A,e,Exempted without Credit Transfer,UEIS,A0006@uow.edu.my,,,,,
66,A0006,Mary Butler,Apr-25,MPU3113,Hubungan Etnik,e,Exempted without Credit Transfer,UEIS,A0006@uow.edu.my,,,,,
67,A0007,Lisa Butler,Feb-25,KBEN1033N,Oral Communication,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
68,A0007,Lisa Butler,Feb-25,XBCS1043N,Computing Mathematics,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
69,A0007,Lisa Butler,Feb-25,XBCS1143N,Application Development,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
70,A0007,Lisa Butler,Feb-25,XBCS1183N,Database Management & Security,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
71,A0007,Lisa Butler,Feb-25,MPU3333N,Integrity and Anti Corruption,n,To Take (n : registered for Next semester),UEIS,A0007@uow.edu.my,,,,,
72,A0007,Lisa Butler,Feb-25,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0007@uow.edu.my,,,,,
73,A0007,Lisa Butler,Feb-25,MPU3193N,Philosophy and Current Issues,A,#N/A,UEIS,A0007@uow.edu.my,,,,,
74,A0007,Lisa Butler,Feb-25,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0007@uow.edu.my,,,,,
75,A0007,Lisa Butler,Feb-25,XBCS1153N,System Analysis and Design,D,#N/A,UEIS,A0007@uow.edu.my,,,,,
76,A0007,Lisa Butler,Feb-25,XBIS1034N,Foundation of Information Systems,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
77,A0007,Lisa Butler,Feb-25,XBCS2103N,Fundamentals of Object Oriented Programming,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
78,A0007,Lisa Butler,Feb-25,XBCS2163N,Database Management Systems,C,#N/A,UEIS,A0007@uow.edu.my,,,,,
79,A0007,Lisa Butler,Feb-25,XBIS2054N,Data Science,C+,#N/A,UEIS,A0007@uow.edu.my,,,,,
80,A0007,Lisa Butler,Feb-25,XBCS2013N,Principles of Software Engineering,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
81,A0007,Lisa Butler,Feb-25,XBCS2193N,HCI & User Experience,1,Retaking this semester,UEIS,A0007@uow.edu.my,,,,,
82,A0007,Lisa Butler,Feb-25,XBIS3014N,Enterprise Systems,1,Retaking this semester,UEIS,A0007@uow.edu.my,,,,,
83,A0007,Lisa Butler,Feb-25,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0007@uow.edu.my,,,,,
84,A0007,Lisa Butler,Feb-25,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0007@uow.edu.my,,,,,
85,A0007,Lisa Butler,Feb-25,XBIS2034N,E-Commerce,ct,Credit Transferred,UEIS,A0007@uow.edu.my,,,,,
86,A0008,Cristiano Ronaldo,Oct-24,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0008@uow.edu.my,,,,,
87,A0008,Cristiano Ronaldo,Oct-24,KBEN1033N,Oral Communication,B+,#N/A,UEIS,A0008@uow.edu.my,,,,,
88,A0008,Cristiano Ronaldo,Oct-24,XBCS1143N,Application Development,F,#N/A,UEIS,A0008@uow.edu.my,,,,,
89,A0008,Cristiano Ronaldo,Oct-24,XBCS1183N,Database Management & Security,n,To Take (n : registered for Next semester),UEIS,A0008@uow.edu.my,,,,,
90,A0008,Cristiano Ronaldo,Oct-24,MPU3333N,Integrity and Anti Corruption,A-,#N/A,UEIS,A0008@uow.edu.my,,,,,
91,A0008,Cristiano Ronaldo,Oct-24,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0008@uow.edu.my,,,,,
92,A0008,Cristiano Ronaldo,Oct-24,XBCS1123N,Statistics,n,To Take (n : registered for Next semester),UEIS,A0008@uow.edu.my,,,,,
93,A0008,Cristiano Ronaldo,Oct-24,XBCS1153N,System Analysis and Design,C,#N/A,UEIS,A0008@uow.edu.my,,,,,
94,A0008,Cristiano Ronaldo,Oct-24,XBIS1034N,Foundation of Information Systems,n,To Take (n : registered for Next semester),UEIS,A0008@uow.edu.my,,,,,
95,A0008,Cristiano Ronaldo,Oct-24,XBCS2163N,Database Management Systems,D,#N/A,UEIS,A0008@uow.edu.my,,,,,
96,A0008,Cristiano Ronaldo,Oct-24,XBCS2013N,Principles of Software Engineering,n,To Take (n : registered for Next semester),UEIS,A0008@uow.edu.my,,,,,
97,A0008,Cristiano Ronaldo,Oct-24,XBCS2193N,HCI & User Experience,n,To Take (n : registered for Next semester),UEIS,A0008@uow.edu.my,,,,,
98,A0008,Cristiano Ronaldo,Oct-24,MPU3143N,Bahasa Melayu Komunikasi 2,XF,#N/A,UEIS,A0008@uow.edu.my,,,,,
99,A0008,Cristiano Ronaldo,Oct-24,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0008@uow.edu.my,,,,,
100,A0008,Cristiano Ronaldo,Oct-24,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0008@uow.edu.my,,,,,
101,A0009,Doja Cat,Sep-24,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0009@uow.edu.my,,,,,
102,A0009,Doja Cat,Sep-24,KBEN1033N,Oral Communication,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
103,A0009,Doja Cat,Sep-24,XBCS1043N,Computing Mathematics,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
104,A0009,Doja Cat,Sep-24,XBCS1143N,Application Development,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
105,A0009,Doja Cat,Sep-24,XBCS1183N,Database Management & Security,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
106,A0009,Doja Cat,Sep-24,MPU3333N,Integrity and Anti Corruption,1,Retaking this semester,UEIS,A0009@uow.edu.my,,,,,
107,A0009,Doja Cat,Sep-24,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0009@uow.edu.my,,,,,
108,A0009,Doja Cat,Sep-24,MPU3193N,Philosophy and Current Issues,C+,#N/A,UEIS,A0009@uow.edu.my,,,,,
109,A0009,Doja Cat,Sep-24,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0009@uow.edu.my,,,,,
110,A0009,Doja Cat,Sep-24,XBCS1153N,System Analysis and Design,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
111,A0009,Doja Cat,Sep-24,XBIS1034N,Foundation of Information Systems,1,Retaking this semester,UEIS,A0009@uow.edu.my,,,,,
112,A0009,Doja Cat,Sep-24,XBCS2103N,Fundamentals of Object Oriented Programming,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
113,A0009,Doja Cat,Sep-24,XBCS2163N,Database Management Systems,C+,#N/A,UEIS,A0009@uow.edu.my,,,,,
114,A0009,Doja Cat,Sep-24,XBIS2054N,Data Science,C,#N/A,UEIS,A0009@uow.edu.my,,,,,
115,A0009,Doja Cat,Sep-24,XBCS2013N,Principles of Software Engineering,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
116,A0009,Doja Cat,Sep-24,XBCS2193N,HCI & User Experience,1,Retaking this semester,UEIS,A0009@uow.edu.my,,,,,
117,A0009,Doja Cat,Sep-24,XBIS3014N,Enterprise Systems,1,Retaking this semester,UEIS,A0009@uow.edu.my,,,,,
118,A0009,Doja Cat,Sep-24,XBIS2044N,Enterprise Architecture,C,#N/A,UEIS,A0009@uow.edu.my,,,,,
119,A0009,Doja Cat,Sep-24,XBIS3034N,Business Process Management,F,#N/A,UEIS,A0009@uow.edu.my,,,,,
120,A0009,Doja Cat,Sep-24,XBSE2044N,IT Project Management,F,#N/A,UEIS,A0009@uow.edu.my,,,,,
121,A0009,Doja Cat,Sep-24,XBCS2054N,Computer Ethics & Law,ct,Credit Transferred,UEIS,A0009@uow.edu.my,,,,,
122,A0009,Doja Cat,Sep-24,MPU3143N,Bahasa Melayu Komunikasi 2,B-,#N/A,UEIS,A0009@uow.edu.my,,,,,
123,A0009,Doja Cat,Sep-24,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0009@uow.edu.my,,,,,
124,A0009,Doja Cat,Sep-24,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0009@uow.edu.my,,,,,
125,A0010,Tom Cruise,Sep-24,MPU3183N,Penghayatan Etika dan Peradaban,B+,#N/A,UEIS,A0010@uow.edu.my,,,,,
126,A0010,Tom Cruise,Sep-24,KBEN1033N,Oral Communication,A+,#N/A,UEIS,A0010@uow.edu.my,,,,,
127,A0010,Tom Cruise,Sep-24,XBCS1143N,Application Development,C,#N/A,UEIS,A0010@uow.edu.my,,,,,
128,A0010,Tom Cruise,Sep-24,XBCS1183N,Database Management & Security,1,Retaking this semester,UEIS,A0010@uow.edu.my,,,,,
129,A0010,Tom Cruise,Sep-24,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0010@uow.edu.my,,,,,
130,A0010,Tom Cruise,Sep-24,MPU3193N,Philosophy and Current Issues,B+,#N/A,UEIS,A0010@uow.edu.my,,,,,
131,A0010,Tom Cruise,Sep-24,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0010@uow.edu.my,,,,,
132,A0010,Tom Cruise,Sep-24,XBCS1153N,System Analysis and Design,A,#N/A,UEIS,A0010@uow.edu.my,,,,,
133,A0010,Tom Cruise,Sep-24,XBIS1034N,Foundation of Information Systems,B+,#N/A,UEIS,A0010@uow.edu.my,,,,,
134,A0010,Tom Cruise,Sep-24,XBCS2103N,Fundamentals of Object Oriented Programming,C+,#N/A,UEIS,A0010@uow.edu.my,,,,,
135,A0010,Tom Cruise,Sep-24,XBCS2163N,Database Management Systems,B,#N/A,UEIS,A0010@uow.edu.my,,,,,
136,A0010,Tom Cruise,Sep-24,XBIS2054N,Data Science,A-,#N/A,UEIS,A0010@uow.edu.my,,,,,
137,A0010,Tom Cruise,Sep-24,XBCS2013N,Principles of Software Engineering,1,Retaking this semester,UEIS,A0010@uow.edu.my,,,,,
138,A0010,Tom Cruise,Sep-24,XBCS2193N,HCI & User Experience,1,Retaking this semester,UEIS,A0010@uow.edu.my,,,,,
139,A0010,Tom Cruise,Sep-24,XBIS3014N,Enterprise Systems,1,Retaking this semester,UEIS,A0010@uow.edu.my,,,,,
140,A0010,Tom Cruise,Sep-24,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0010@uow.edu.my,,,,,
141,A0010,Tom Cruise,Sep-24,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0010@uow.edu.my,,,,,
142,A0011,Tom Cruise,Sep-24,MPU3183N,Penghayatan Etika dan Peradaban,e,Exempted without Credit Transfer,UEIS,A0011@uow.edu.my,,,,,
143,A0011,Tom Cruise,Sep-24,KBEN1033N,Oral Communication,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
144,A0011,Tom Cruise,Sep-24,XBCS1043N,Computing Mathematics,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
145,A0011,Tom Cruise,Sep-24,XBCS1143N,Application Development,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
146,A0011,Tom Cruise,Sep-24,XBCS1183N,Database Management & Security,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
147,A0011,Tom Cruise,Sep-24,MPU3333N,Integrity and Anti Corruption,n,To Take (n : registered for Next semester),UEIS,A0011@uow.edu.my,,,,,
148,A0011,Tom Cruise,Sep-24,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0011@uow.edu.my,,,,,
149,A0011,Tom Cruise,Sep-24,MPU3193N,Philosophy and Current Issues,B-,#N/A,UEIS,A0011@uow.edu.my,,,,,
150,A0011,Tom Cruise,Sep-24,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0011@uow.edu.my,,,,,
151,A0011,Tom Cruise,Sep-24,XBCS1153N,System Analysis and Design,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
152,A0011,Tom Cruise,Sep-24,XBIS1034N,Foundation of Information Systems,C,#N/A,UEIS,A0011@uow.edu.my,,,,,
153,A0011,Tom Cruise,Sep-24,XBCS2103N,Fundamentals of Object Oriented Programming,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
154,A0011,Tom Cruise,Sep-24,XBCS2163N,Database Management Systems,C+,#N/A,UEIS,A0011@uow.edu.my,,,,,
155,A0011,Tom Cruise,Sep-24,XBIS2054N,Data Science,B,#N/A,UEIS,A0011@uow.edu.my,,,,,
156,A0011,Tom Cruise,Sep-24,XBCS2013N,Principles of Software Engineering,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
157,A0011,Tom Cruise,Sep-24,XBCS2193N,HCI & User Experience,C+,#N/A,UEIS,A0011@uow.edu.my,,,,,
158,A0011,Tom Cruise,Sep-24,XBIS3014N,Enterprise Systems,1,Retaking this semester,UEIS,A0011@uow.edu.my,,,,,
159,A0011,Tom Cruise,Sep-24,XBIS2044N,Enterprise Architecture,C,#N/A,UEIS,A0011@uow.edu.my,,,,,
160,A0011,Tom Cruise,Sep-24,XBIS3044N,Information System Strategy & Management,1,Retaking this semester,UEIS,A0011@uow.edu.my,,,,,
161,A0011,Tom Cruise,Sep-24,XBIS3034N,Business Process Management,C,#N/A,UEIS,A0011@uow.edu.my,,,,,
162,A0011,Tom Cruise,Sep-24,XBSE2044N,IT Project Management,D,#N/A,UEIS,A0011@uow.edu.my,,,,,
163,A0011,Tom Cruise,Sep-24,XBCS2054N,Computer Ethics & Law,ct,Credit Transferred,UEIS,A0011@uow.edu.my,,,,,
164,A0011,Tom Cruise,Sep-24,MPU3143N,Bahasa Melayu Komunikasi 2,B+,#N/A,UEIS,A0011@uow.edu.my,,,,,
165,A0011,Tom Cruise,Sep-24,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0011@uow.edu.my,,,,,
166,A0011,Tom Cruise,Sep-24,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0011@uow.edu.my,,,,,
167,A0012,Tom Cruise,May-24,MPU3183N,Penghayatan Etika dan Peradaban,A-,#N/A,UEIS,A0012@uow.edu.my,,,,,
168,A0012,Tom Cruise,May-24,KBEN1033N,Oral Communication,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
169,A0012,Tom Cruise,May-24,XBCS1043N,Computing Mathematics,A,#N/A,UEIS,A0012@uow.edu.my,,,,,
170,A0012,Tom Cruise,May-24,XBCS1143N,Application Development,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
171,A0012,Tom Cruise,May-24,XBCS1183N,Database Management & Security,B-,#N/A,UEIS,A0012@uow.edu.my,,,,,
172,A0012,Tom Cruise,May-24,MPU3333N,Integrity and Anti Corruption,n,To Take (n : registered for Next semester),UEIS,A0012@uow.edu.my,,,,,
173,A0012,Tom Cruise,May-24,MPU3323N,Malaysia and Global Issues,e,Exempted without Credit Transfer,UEIS,A0012@uow.edu.my,,,,,
174,A0012,Tom Cruise,May-24,MPU3193N,Philosophy and Current Issues,C,#N/A,UEIS,A0012@uow.edu.my,,,,,
175,A0012,Tom Cruise,May-24,XBCS1123N,Statistics,1,Retaking this semester,UEIS,A0012@uow.edu.my,,,,,
176,A0012,Tom Cruise,May-24,XBCS1153N,System Analysis and Design,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
177,A0012,Tom Cruise,May-24,XBIS1034N,Foundation of Information Systems,B-,#N/A,UEIS,A0012@uow.edu.my,,,,,
178,A0012,Tom Cruise,May-24,XBCS2103N,Fundamentals of Object Oriented Programming,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
179,A0012,Tom Cruise,May-24,XBIS1044N,Enterprise Information Systems,B-,#N/A,UEIS,A0012@uow.edu.my,,,,,
180,A0012,Tom Cruise,May-24,XBCS2163N,Database Management Systems,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
181,A0012,Tom Cruise,May-24,XBIS2054N,Data Science,B-,#N/A,UEIS,A0012@uow.edu.my,,,,,
182,A0012,Tom Cruise,May-24,XBCS2013N,Principles of Software Engineering,A-,#N/A,UEIS,A0012@uow.edu.my,,,,,
183,A0012,Tom Cruise,May-24,MPU3243N,Entrepreneurship,B+,#N/A,UEIS,A0012@uow.edu.my,,,,,
184,A0012,Tom Cruise,May-24,XBCS2193N,HCI & User Experience,1,Retaking this semester,UEIS,A0012@uow.edu.my,,,,,
185,A0012,Tom Cruise,May-24,XBIS3014N,Enterprise Systems,1,Retaking this semester,UEIS,A0012@uow.edu.my,,,,,
186,A0012,Tom Cruise,May-24,MPU3123N,Tamadun Islam & Tamadun Asia,e,Exempted without Credit Transfer,UEIS,A0012@uow.edu.my,,,,,
187,A0012,Tom Cruise,May-24,KBRM3014N,Research Methodology,e,Exempted without Credit Transfer,UEIS,A0012@uow.edu.my,,,,,
188,A0013,Harry Styles,Mar-24,MPU3183N,Penghayatan Etika dan Peradaban,B,#N/A,UEIS,A0013@uow.edu.my,,,,,
